,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
206,Cream-of-Artichoke-Soup-1567179,2700.0,10,6,600.0,3300
207,Creamy-Soup-With-Rice-And-Mushrooms-1685705,,13,4,,4200
208,Tomato-Basil-Soup-1697236,,6,4,,2400
209,Cold-Shrimp-Avocado-Bisque-1701003,,16,4,,1200
210,Greek-Egg-and-Lemon-Soup-with-Chicken_-Brown-Rice_-and-Chickpeas-1384228,,10,2,,4200
211,Broccoli-Cheddar-Soup-1573566,,12,4,,3900
212,Hungarian-Cream-of-Green-Bean-Soup-1688155,1800.0,8,5,900.0,2700
213,Lemon-Lentil-Vegetable-Soup-1709643,1800.0,12,6,600.0,2400
214,Carrot-Gazpacho-1640040,300.0,12,4,300.0,600
215,Best-Gazpacho-1701404,1200.0,8,10,,1200
216,Gazpacho-1710962,,17,4,2700.0,2700
217,Corn-and-Potato-Chowder-1703517,,13,8,,2400
218,Smoky-Fish-Chowder-1691368,2400.0,11,4,,2400
219,20-Minute-Homemade-Chicken-Noodle-Soup-1278881,600.0,11,4,600.0,1200
220,Crockpot-french-onion-soup-333495,,13,9,,3900
221,Easy-Mexican-Tortilla-Soup-1336714,,10,4,,1500
222,Chicken_-Red-Dates-and-Ginger-Soup-1687544,,7,7,,6300
223,Bbq-chicken-pizza-soup-334993,,11,5,,1800
224,Vegan-Carrot-Soup-1701762,1500.0,8,4,300.0,1800
225,Potato-Ham-Chowder-Freezer-Meal-1706614,21600.0,8,4,600.0,22200
226,Mushroom-And-Noodle-Broth-1590176,,7,4,,1800
227,Potato-Leek-Soup-1698833,,16,4,,2400
228,Creamy-Gluten-Free-Tomato-Soup-1685910,1500.0,9,4,120.0,1620
229,Creamy-Roasted-Tomato-Gazpacho-1698564,,15,2,,3600
230,Creamy-_without-cream_-Celery-soup-678383,,7,2,,1800
231,Pearl-Barley-Soup-With-Vegetables-1706168,,10,4,,4200
232,Quick-_-Easy-Chinese-Noodle-Soup-1026706,300.0,7,2,300.0,600
233,Egg-Drop-Soup-1171666,1080.0,7,4,300.0,1380
234,One-Pot-Spiralized-Zucchini-Noodle-Soup-1226598,300.0,7,2,240.0,540
235,Egg-Drop-Soup-1640241,300.0,8,4,600.0,900
236,Chicken-Stock-1595892,,6,8,,3300
237,Roasted-Carrot-Turmeric-Soup-1708899,,19,4,,4200
238,Quick-and-Healthy-Vegetable-Stock-1708886,2700.0,12,8,600.0,3300
239,Broccoli-soup-345478,,5,4,,3000
240,Easy-Taco-Soup-1643364,,8,4,,2400
241,Cream-of-asparagus-soup-352170,,7,6,,2100
242,Simple-Cabbage-Soup-1642447,1200.0,12,4,600.0,1800
243,Slow-Cooker-Thai-Butternut-Squash-Soup-1015415,14400.0,15,4,900.0,15300
244,Pineapple-Shrimp-Gazpacho-1698453,,10,4,,1200
245,Chilled-Cucumber-Avocado-Soup-1696582,,8,4,,2400
246,No-Cream-Creamy-Broccoli-Soup-1697133,2100.0,10,8,900.0,2100
247,Roasted-Pumpkin-and-Garlic-Soup-1699420,2700.0,5,6,1200.0,3900
248,Watermelon-Gazpacho-with-Whipped-Feta-1705111,,12,8,900.0,900
249,Soup-With-Ground-Beef-And-Melted-Cheese-1700715,,15,4,,3600
250,Chicken-Noodle-Soup-1639809,,4,4,,2100
251,Cucumber-And-Gooseberry-Soup-1701568,,10,4,,3600
252,Crab-_-Shrimp-Corn-Soup-Under-300-Calories-Per-Serving_-1238784,,13,7,,2700
253,Freshly-Blended-Tomato-Basil-Soup-Using-A-Nutribullet-RX-1634838,,8,4,,900
254,Slow-Cooker-Sausage-White-Bean-and-Spinach-Soup-1706601,14400.0,16,4,600.0,15000
255,Beef-Barley-Soup-1621456,,11,7,,6300
256,Salmon-Chowder-1708288,1800.0,17,7,900.0,2700
257,Slow-Cooker-Rustic-French-Onion-Soup-1678421,,12,10,2100.0,34500
258,Diet-Vegetables-Soupe-With-Mushrooms-1709807,,16,4,,6300
259,Detox-Diet-Soup-1517293,,15,4,,3600
260,Basil-Tomato-Bisque-1306778,,6,4,,1500
261,Spinach-_-Lentil-Soup-1681965,,13,4,,3900
262,Weeknight-noodle_-vegetable-and-shrimp-soup-334484,,14,4,,2100
263,Lotus-Root-Soup-1703983,7200.0,8,4,1200.0,8400
264,Asparagus-Soup-1637181,1800.0,7,4,1800.0,3600
265,Weeknight-Minestrone-1387406,1500.0,16,6,300.0,1800
266,Spicy-Zucchini-Soup-Simply-Recipes-42509,2400.0,13,4,900.0,3300
267,Chicken-And-Corn-Soup-1586434,1800.0,12,4,,1800
268,Chicken-Noodle-Soup-1522168,1500.0,13,4,300.0,1800
269,Blue-Broccoli-Super-Soup-1666037,,7,4,420.0,900
270,Crock-Pot-Broccoli-Cheese-Soup-974605,14400.0,10,6,600.0,15000
271,Tomato-Bisque-1391689,,5,6,,2400
272,Crock-Pot-Southwestern-Hamburger-Soup-1697791,10800.0,12,6,900.0,11700
273,Chicken-and-White-Bean-Soup-1698756,,9,8,600.0,1500
274,21-Day-Fix-Chicken-Tortilla-Soup-1532643,,21,6,,3000
275,Creamy-Mushroom-Soup-1588883,,9,3,1200.0,1200
276,Egg-Drop-Soup-1681680,,9,4,,2400
277,Cold-Watermelon-Soup-1686518,,7,4,,1500
278,White-Bean-Soup-1583371,,17,4,,3900
279,Easiest-Ever-Black-Bean-Soup-1636684,,3,5,,1200
280,Egg-Drop-Soup-1462576,600.0,7,4,900.0,1500
281,Gazpacho-1691304,,10,4,,1800
282,Hearty-Lentil-_-Vegetable-Soup-1683590,2700.0,11,4,900.0,2700
283,Bacon-Cheddar-Cauliflower-Chowder-1455759,,14,8,,2700
284,Cream-of-Potato-Soup-1627513,,9,4,,1500
285,Roasted-Butternut-Squash-Soup-1656713,,10,4,,2700
286,Creamy-Zucchini-Soup-1688571,1200.0,8,4,,2400
287,30-Clove-Garlic-Soup-748836,,7,4,,3900
288,Parmesan-Broth-1609907,,9,4,,3600
289,Cauliflower-Chowder-579853,1800.0,14,6,900.0,2700
290,Chicken-Zucchini-Noodle-Soup-1708746,1800.0,11,2,600.0,2400
291,Tomato-bisque-352101,,12,8,,3900
292,Irish-Oatmeal-Leek-Soup-1700079,,7,4,,3300
293,Easy-Chicken-Soup-_THM-FP_-1711997,,14,8,,3300
294,Sweet-Corn-Gazpacho-1700069,,16,6,,2700
295,Pea-Soup-With-Smoked-Sausage-And-Peppers-1707056,,12,4,,3600
296,Spicy-Kale-and-Chickpea-Soup-1252487,,16,7,,2400
297,Watermelon-Gazpacho-1696281,,15,10,600.0,600
298,Slow-Cooker-Chicken-Rice-Soup-1706659,10800.0,9,4,900.0,11700
299,Roasted-Red-Pepper_-Tomato-and-Basil-Soup-1709088,,11,7,,4200
300,Cheese-Soup-With-Carrots-And-Shrimp-1696095,,10,4,,3900
301,Cream-of-Parsnip-Soup-1704196,1200.0,7,4,600.0,1800
302,Tomatoes-Red-Lentils-Coconut-Soup-1703758,2100.0,10,3,300.0,2400
303,Conch-Chowder-1694211,,13,4,,4200
304,Cream-Soup-Substitute-for-Recipes-1687291,600.0,6,1,300.0,900
305,Cauliflower-Chowder-1708090,900.0,15,4,600.0,1500
306,Mexican-Chicken-Soup-Whole-30-1633633,,15,7,,2400
307,Cauliflower-Watercress-Soup-1700087,,8,7,,2100
308,Mac-And-Cheese-Soup-Recipe-_Even-The-Kids-Will-Love-It__-1688754,,13,8,,2400
309,Chickpea-_-rice-soup-with-a-little-kale-334446,,16,6,,3000
310,Roasted-Red-Pepper-and-Tomato-Soup-1627636,2700.0,13,4,600.0,3300
311,Spicy-Shrimp-Soup-1697289,10800.0,19,8,900.0,11700
312,Poor-Mans-Soup-1681299,,9,4,,3300
313,Butternut-Squash-Soup-1631758,600.0,8,5,180.0,780
314,Creamy-Vegan-Broccoli-Soup-1688689,1800.0,15,4,,1800
315,Roasted-Red-Pepper-and-Tomato-Soup-1691259,,11,6,,4200
316,Chicken-Enchilada-Soup-1701772,600.0,16,6,1200.0,1800
317,Diet-Beet-Soup-1690813,,7,4,,1800
318,Recipe-Vegetable-Quinoa-Soup-1712520,,10,5,,2400
319,Keto-Beef-Stroganoff-Soup-1690714,1200.0,13,6,,3600
320,Smoked-Salmon-Chowder-1705926,,13,4,,3000
321,Creamy-cauliflower-soup-352374,,7,4,,2100
322,Winter-Greens-_-Ginger-Soup-1704660,,18,4,,3000
323,Cream-of-Tomato-Soup-1603364,1260.0,5,4,300.0,1560
324,Quick-Cauliflower-Coconut-Stew-1694712,,14,4,,2100
325,Skinny-Broccoli-Cheese-Soup-1327931,10800.0,11,4,900.0,11700
326,Mushroom-Zoodle-Soup-1704013,600.0,12,2,1200.0,1800
327,Chorizo-_-White-Bean-Soup-1536132,,7,4,,1800
328,Egg-Drop-Soup-989369,,5,4,,1500
329,30-minute-Healthy-Meatball-Soup-1703943,1200.0,23,8,600.0,1800
330,Slow-Cooker-Creamy-Potato-Corn-Chowder-1664003,,12,7,,3600
331,Best-Clam-Chowder-1613536,2100.0,17,6,1200.0,3300
332,Hearty-Vegetable-Soup-1624074,,13,8,900.0,2580
333,Pasta-E-Fagioli-_pasta-And-Beans_-1703010,3600.0,13,6,1200.0,4800
334,30-Minute-Lighter-Italian-Wedding-Soup-1473974,900.0,12,6,900.0,1800
335,PEA-SOUP-629626,,8,2,,1500
336,Creamy-Tahini-_-Lemon-asparagus-Soup-_-V-1646668,,15,2,,2100
337,Cold-cucumber-soup-_Tarator_-1192944,,7,4,,1200
338,Slow-Cooker-Cheesy-Potato-Soup-_Recipe-1620655,,8,4,,3900
339,The-Ultimate-Corn-Chowder-In-The-Soup-Maker-1521748,1500.0,14,5,900.0,2400
340,Sesame-Ginger-Daikon-Noodle-Soup-with-Bok-Choy_-Snow-Peas-and-Shiitake-Mushrooms-1709658,1200.0,15,3,900.0,2100
341,Easy-Tomato-Basil-Soup-962960,,6,4,,1800
342,Roasted-Tomato-and-Red-Pepper-Soup-1257190,,12,3,,3300
343,Clam-Chowder-1706857,,14,8,900.0,2400
344,Chicken-Corn-Chowder-1689743,1500.0,10,4,300.0,1800
345,Curried-Coconut-Carrot-Soup-1688662,1500.0,13,4,,2700
346,Creamy-Chicken-Mushroom-Soup-1697772,1200.0,12,6,600.0,1800
347,Rice-_-Black-Bean-Soup-With-Chorizo-1537301,,9,8,,2700
348,Avgolemono-Soup-_aka-Greek-Lemon-Chicken-Soup_-1587365,1500.0,8,4,300.0,1500
349,Spinach-Soup-With-Rosemary-Croutons-1705666,,14,6,,1080
350,Cold-Cucumber-Soup-1228335,,8,1,,1200
351,New-England-Clam-Chowder-1703788,,13,4,,5100
352,Summer-Garden-Gazpacho-1698824,,24,8,,2400
353,Slow-Cooker-Chicken-Noodle-Soup-1687091,18000.0,12,10,1800.0,19800
354,Pappa-al-Pomodor-1699928,2100.0,8,4,,2100
355,Low-Fat-Creamy-Mushroom-Soup-933409,,7,4,,2400
356,Roasted-Chicken-Bone-Broth-1682809,,7,4,,5400
357,Chicken-And-Vegetable-Soup-With-Vermicelli-1663109,,12,4,,3600
358,Spinach-bisque-slow-cooker-310353,,9,8,,2400
359,Creamy-Spinach-Soup-751247,,5,4,,2700
360,Perfect-Potato-Soup-1327377,,14,12,,2400
361,Sweet-Corn-Yellow-Tomato-Soup-1640483,,12,4,,3300
362,Old-Fashioned-Chicken-Noodle-Soup-1690415,,15,8,,6300
363,Dal-Maharani---No-Onion-Garlic-1702831,3600.0,19,10,21600.0,25200
364,Weight-Loss-Wonder-Soup-1643649,,8,4,,5400
365,Spicy-Thai-Coconut-Soup-1705833,900.0,15,4,900.0,1800
366,Roasted-asparagus-soup-333986,,8,2,,2400
367,Bulletproof-Bone-Broth-1378930,,7,4,,3600
368,Beefy-Nacho-Soup-1579469,,7,4,1200.0,1200
369,Zucchini-Soup-1697188,3600.0,11,12,900.0,4500
370,Chilled-Carrot-Soup-w_-Coconut-Cream-_-Lemongrass-1707243,,13,4,,1800
371,Hearty-Tortilla-Soup-1290887,,6,4,,900
372,Pumpkin-ginger-soup-345474,,6,4,,1800
373,Tuscan-Sausage-Soup-1706048,2700.0,9,2,900.0,3600
374,Tomato-Soup-_Salmorejo_-1690687,,16,6,,3900
