,id,Barbecue,Breads,French,Greek,Kid-Friendly,Main Dishes,Mediterranean,Moroccan,Spanish,Summer,Sunday Lunch,Turkish
83,Greek-Chicken-Tacos-with-Whipped-Feta-1627400,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
84,Greek-Lemon-Chicken-with-Tzatziki-Sauce-1575128,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
85,Easy-Greek-Chicken-Gryos-1184815,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
86,Greek-Meatballs-with-Tzatziki-Sauce-1589104,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
87,Amazing-Mediterranean-Style-Baked-Trout-Recipe-in-a-Hurry-1621233,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
88,Mediterranean-Roasted-Chicken-with-Broccoli-and-Peppers-1557277,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
89,Rosemary-Pork-Chops-Epicurious,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
90,Braised-Chicken-with-Mediterranean-Wine-Sauce-456464,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
91,Mediterranean-Style-Stuffed-Peppers-1102049,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
92,Mediterranean-Cod-1584965,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
93,Spiralized-Mediterranean-Beet-and-Feta-Skillet-Bake-1616367,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
94,Mediterranean-pork-chops-299690,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
95,Mediterranean-Pizza-1540385,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
96,Mediterranean-Stuffed-Flank-Steak-1230543,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
97,Mediterranean-Chicken-Allrecipes,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
98,Greek-Style-Lamb-Chops-1549454,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
99,One-Pot-Mediterranean-Quinoa-Chicken-1579189,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
100,Shrimp-and-Lemon-Skewers-with-Feta-Dill-Sauce-1629904,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0
101,Greek-pizza-297908,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
102,Mediterranean-Chicken-Pasta-with-Spinach-and-Red-Bell-Peppers-1685652,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
103,Mediterranean-Lentils-Stir-Fry-1635960,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
104,Mediterranean-Chicken-Epicurious,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
105,Mediterranean-Lemon-Chicken-1071052,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
106,One-Skillet-Paleo-Mediterranean-Chicken-1119388,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
107,Mediterranean-Grilled-Chicken-_-Dill-Greek-Yogurt-Sauce-1125014,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
108,Mediterranean-Chicken-1406899,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
109,Greek-Style-Stuffed-Peppers-1602074,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
110,Greek-Moussaka-1517043,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
111,Mediterranean-Penne-with-Arugula-_-Tomatoes-1238021,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
112,Greek-Feta-_-Tomato-1255295,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
113,Mediterranean-Pasta-w_-Roasted-Red-Peppers-and-Artichokes-1009523,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
114,Mediterranean-Chicken-Martha-Stewart,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
115,Mediterranean-Chicken-Stew-1049645,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
116,Greek-Stuffed-Peppers-With-Spinach-_-Artichoke-1637426,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
117,Greek-Leek-Pie-_Prasopita_-1630026,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
118,Mediterranean-Vegetable-Casserole-1409115,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
119,Yogurt-marinated-lamb-kebabs-305481,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
120,Greek-Stuffed-Peppers-Martha-Stewart,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
121,Greek-Style-Pizza-1403065,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
122,Lamb-exohiko-_lamb_-spinach-and-cheese-stuffed-phyllo-parcels_-351102,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
123,Mediterranean-Salmon-1107015,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
124,Mediterranean-Chicken-Skewers-1594397,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
125,Faith_s-Greek-Shrimp-Couscous_-Feta_-Olives-_-Lemon-1051318,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
126,Mediterranean-Grilled-Chicken-Breasts-1509486,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
127,Baked-Mediterranean-Chicken-1164957,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
128,Thin-Crust-Mediterranean-Pizza-1618125,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
129,Mediterranean-Feast-1017231,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
130,Mediterranean-Stuffed-Chicken-1230610,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
131,Garlicky-Greek-Chicken-and-a-_ChickenDotca-Giveaway-1032127,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
132,Greek-Style-Garlic-Chicken-Breast-578378,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
133,Mediterranean-White-Chicken-Enchiladas-1213809,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
134,Mediterranean-Spaghetti-1400717,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
135,Garlic-Herb-Mediterranean-Chicken-and-Lemon-Potatoes-1146111,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
136,Greek-Lamb-Sliders-1053310,1.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
137,Mediterranean-Lamb-Flatbread-1606744,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
138,Mediterranean-Grilled-Chicken-Kebabs-My-Recipes,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
139,Mediterranean-Chicken-with-Vinegar-Roasted-Peppers-1021258,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
140,Braised-Mediterranean-Chicken-1615589,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
141,Easy-Mediterranean-Grilled-Chicken-1240418,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
142,One-Pot-Mediterranean-Chicken-with-Black-Olives-and-Orzo-1224191,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
143,Greek-White-Beans-with-Calamari-1626748,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
144,Kotopita-_Greek-Chicken-Pie_-1564981,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
145,Mediterranean-Chicken-Bake-1032493,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
146,Mediterranean-Salmon-1641365,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
147,Mediterranean-Chicken-1224805,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
148,One-Skillet-Mediterranean-Chicken-Recipe-with-Tomatoes-and-Green-Olives-1505667,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
149,Mediterranean-Shepards-Pie-1276638,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
150,Mediterranean-Lemon-Shrimp-and-Spinach-599942,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,1.0
151,Mediterranean-Beef-Skewers-1289800,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
152,Mediterranean-Baked-Salmon-487827,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
153,Mediterranean-Chicken-1220805,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
154,Spicy-Mediterranean-Pasta-1597325,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
155,Grilled-Tofu-with-a-Mediterranean-Chopped-Salad-1081203,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
156,Mediterranean-Cauliflower-Pizza-1494534,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
157,Greek-Style-Grilled-Chicken-With-Oregano_-Garlic_-Lemon_-and-Olive-Oil-1187746,1.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,1.0,0.0,0.0
158,Braised-mediterranean-chicken-with-olives-298475,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
159,Quick-Mediterranean-Pasta-Allrecipes,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
160,Mediterranean-Chicken-Pasta-761695,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
161,Mediterranean-Shrimp-575099,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
162,Mediterranean-Stuffed-Bell-Peppers-1216022,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
163,Mediterranean-Spiced-Chicken-Thighs-1095734,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
164,Mediterranean-Pizza-1126428,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0
165,Greek-Roast-Lamb-with-Potatoes-1528650,0.0,0.0,0.0,1.0,0.0,1,1,0.0,0.0,0.0,1.0,0.0
166,Mediterranean-Barley-Paella-1630860,0.0,0.0,0.0,0.0,0.0,1,1,0.0,1.0,0.0,0.0,0.0
