,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
203,Easy-Mediterranean-Chicken-Food_com-113141,1200.0,14,4,600.0,1800
204,Greek-Orzo-Bake-Recipezaar,900.0,11,4,900.0,1800
205,Greek-Feta-And-Tomato-Pasta-Recipezaar,600.0,10,4,600.0,1200
206,Mediterranean-Style-Chicken-Breast-Recipezaar,1200.0,12,4,600.0,1800
207,Mediterranean-Shrimp-And-Linguine-Recipezaar,600.0,12,6,1200.0,1800
208,Greek-Ziti-With-Lamb-Ragu-Food_com-293062,3600.0,16,7,900.0,4500
209,Lamb_-Olive-And-Haloumi-Pizza-Recipezaar,1800.0,12,4,3600.0,5400
210,Baked-Greek_style-Omelette-_gluten_free_-Recipezaar,3000.0,11,4,600.0,3600
211,Mediterranean-Chicken-With-Tomatoes_-Kalamata-And-Mushrooms-Recipezaar,1800.0,15,4,1200.0,3000
212,Zesty-Greek-Pizza-Food_com-107818,720.0,13,4,900.0,1620
213,Greek-Lamb-With-Yogurt-Mint-Sauce-Food_com-130614,1200.0,18,5,7200.0,8400
214,Mediterranean-Sausage-And-Pasta-Recipezaar,1200.0,10,6,600.0,1800
215,Mediterranean-Beef-and-Vegetable-Casserole-Food_com-159482,1800.0,15,4,900.0,2700
216,Mediterranean-Beef-Casserole-Recipezaar,7200.0,11,4,600.0,7800
217,Greek-Shrimp-Scampi-Recipezaar,1200.0,9,4,600.0,1800
218,Mediterranean-Style-Lentils-and-Rice-MyRecipes-231015,3540.0,12,7,600.0,4140
219,Lamb-Steak-With-Greek-Tomato-Sauce-and-Feta-Food_com-62043,,14,1,600.0,2400
220,Mediterranean-Aubergine-_eggplant_-Pot-Pie-Recipezaar,2700.0,9,4,900.0,3600
221,Mediterranean-Turkey-Meatloaf-Recipezaar,3300.0,10,6,600.0,3900
222,Mediterranean-Mostaccioli-Recipezaar,900.0,10,4,600.0,1500
223,Mediterranean-Chicken-Recipezaar_10,2700.0,9,4,600.0,3300
224,Greek-Lamb-Casserole-With-Feta-Recipezaar,7200.0,15,4,900.0,8100
225,Mediterranean-Paella-_vegetarian_-Recipezaar,1920.0,11,5,600.0,2520
226,Mediterranean-Olive-Pasta-Recipezaar,900.0,8,4,1200.0,2100
227,Mediterranean-Tuna-_-Swordfish-Recipezaar,600.0,12,6,600.0,1200
228,Lamb-and-Feta-Meatballs-With-Tomato-Sauce-Food_com-173578,2100.0,12,4,300.0,2400
229,Greek-Chicken-Thighs-Recipezaar,1500.0,11,6,900.0,2400
230,Greek-Pasta-Recipezaar_3,1500.0,11,7,900.0,2400
231,Mediterranean-Style-Tuna-Recipezaar,1800.0,11,6,600.0,2400
232,Greek_style-Lamb-Shanks-Recipezaar,9900.0,13,4,1800.0,11700
233,Greek-Island-Chicken-Recipezaar,1800.0,14,2,600.0,2400
234,Mediterranean-Tuna-Pasta-Sauce-W-Buckwheat-Noodles-Recipezaar,900.0,13,4,600.0,1500
235,Mediterranean-Mahi-Mahi-With-Olive-And-Shallot-Tapenade-Recipezaar,1800.0,10,4,1200.0,3000
236,Greek-Spaghetti-Recipezaar,,10,4,1200.0,1200
237,Mediterranean-Black_eyed-Peas-Casserole-Recipezaar,1200.0,16,4,900.0,2100
238,Mediterranean-Stuffed-Chicken-Breasts-Food_com-166675,1800.0,11,8,900.0,2700
239,Greek-Lamb-Patties-Recipezaar,480.0,9,4,600.0,1080
240,Mediterranean-Grilled-Shrimp-Kabobs-Recipezaar,,9,4,900.0,4500
241,Marinated-Lamb-With-Feta-And-Parsley-Pesto-Recipezaar,600.0,12,4,1200.0,1800
242,Greek-Lamb-Stew-With-Feta-Food_com-184339,28800.0,15,8,1800.0,30600
243,Greek-Chicken-Pasta-Recipezaar,900.0,15,8,900.0,1800
244,Scampi_greek-Style-Recipezaar,1560.0,8,6,900.0,2460
245,Mediterranean-Poached-Fish-Food_com-75268,480.0,13,4,600.0,1080
246,Mediterranean-Fish-Prosciutto-Parcels-Recipezaar,1500.0,13,2,1800.0,3300
247,Greek-Spaghetti-Food_com-176414,600.0,10,4,300.0,900
248,Mediterranean-Chicken-Recipezaar_7,600.0,10,4,300.0,900
249,Mediterranean-Lamb-Chops-Recipezaar,2700.0,10,2,900.0,3600
250,Uncle-Bill_s-Mediterranean-Style-Pizza-Recipezaar,,10,4,1200.0,2100
251,Mediterranean-Fish-Stew-Recipezaar_1,900.0,17,4,1200.0,2100
252,Grilled-Lamb-Chops-With-Lemon-And-Olive-Relish-Recipezaar,900.0,10,6,1200.0,2100
253,Greek-Chicken-Casserole-Recipezaar_1,3480.0,12,4,1800.0,5280
254,Roasted-rump-of-lamb-with-Mediterranean-vegetables_-goats_-cheese-and-olives-1454698,7200.0,38,4,7200.0,14400
