,id,ingredient_list,cuisine,ingredient_string
4530,Eggplant-Lasagna-1154686,"[green bell pepper, red bell pepper, extra-virgin olive oil, dried thyme, oregano leaves, salt, freshly ground pepper, eggplant, onions, garlic, marinara sauce, ricotta, parmigiano reggiano cheese, fresh parsley leaves, part-skim mozzarella]",Italian,green bell pepper red bell pepper extra virgin olive oil dried thyme oregano leaf salt freshly ground pepper eggplant onion garlic marinara sauce ricotta parmigiano reggiano cheese fresh parsley leaf part skim mozzarella
4531,Grilled-Top-Sirloin-Filets-with-Italian-Salsa-Verde-1643424,"[top sirloin, garlic, lemon, pepper, fresh parsley leaves, capers, olive oil, salt]",Italian,top sirloin garlic lemon pepper fresh parsley leaf caper olive oil salt
4532,Chicken-rollatini-with-spinach-alla-parmigiana-352043,"[chicken cutlets, bread crumbs, grated parmesan cheese, egg whites, spinach, part-skim ricotta cheese, part-skim mozzarella, non stick spray, sauce, pepper, salt]",Italian,chicken cutlet bread crumb grated parmesan cheese egg white spinach part skim ricotta cheese part skim mozzarella non stick spray sauce pepper salt
4533,Spinach-Lasagna-III-1631278,"[lasagna noodles, olive oil, fresh mushrooms, chopped onion, minced garlic, fresh spinach, ricotta cheese, grated romano cheese, salt, dried oregano, dried basil leaves, ground black pepper, eggs, shredded mozzarella cheese, tomato sauce, grated parmesan cheese]",Italian,lasagna noodle olive oil fresh mushroom chopped onion minced garlic fresh spinach ricotta cheese grated romano cheese salt dried oregano dried basil leaf ground black pepper egg shredded mozzarella cheese tomato sauce grated parmesan cheese
4534,Mushroom-lasagna-305429,"[salt, olive oil, lasagna noodles, garlic, whole milk, unsalted butter, all-purpose flour, freshly ground black pepper, ground nutmeg, cremini mushrooms, freshly grated parmesan]",Italian,salt olive oil lasagna noodle garlic whole milk unsalted butter all purpose flour freshly ground black pepper ground nutmeg cremini mushroom freshly grated parmesan
4535,_Easy-Dinner-Recipe_-Italian-Chicken-Bake-1065059,"[boneless skinless chicken breasts, prepar pesto, roma tomatoes, mozzarella cheese]",Italian,boneless skinless chicken breast prepar pesto rom tomato mozzarella cheese
4536,Baked-orecchiette-345252,"[orecchiette, fresh rosemary, olive oil, red pepper flakes, rapini, salt, fennel seeds, ricotta, butter, garlic cloves, pecorino cheese]",Italian,orecchiette fresh rosemary olive oil red pepper flake rapini salt fennel seed ricotta butter garlic clove pecorino cheese
4537,20-Minute-Healthy-Chicken-Parmesan-1111419,"[whole wheat breadcrumbs, panko breadcrumbs, parmesan cheese, Italian herbs, salt, pepper, oil, chicken breasts, vodka sauce, fresh mozzarella cheese, zucchini]",Italian,whole wheat breadcrumb panko breadcrumb parmesan cheese italian herb salt pepper oil chicken breast vodka sauce fresh mozzarella cheese zucchini
4538,Linguine-with-Tomatoes_-Basil-and-Brie-472060,"[tomatoes, brie cheese, fresh basil leaves, garlic, extra-virgin olive oil, crushed red pepper, salt, ground black pepper, linguine]",Italian,tomato brie cheese fresh basil leaf garlic extra virgin olive oil crushed red pepper salt ground black pepper linguine
4539,SPINACH-TURKEY-LASAGNA-989634,"[olive oil, lean ground turkey, salt, pepper, carrots, celery, onions, garlic, plum tomatoes, sugar, balsamic vinegar, fresh basil, baby spinach, ricotta, oven-ready lasagna noodles, grated parmesan cheese, shredded mozzarella cheese]",Italian,olive oil lean ground turkey salt pepper carrot celery onion garlic plum tomato sugar balsamic vinegar fresh basil baby spinach ricotta oven ready lasagna noodle grated parmesan cheese shredded mozzarella cheese
4540,Tagliatelle-Carbonara-1399195,"[tagliatelle, olive oil, pancetta, garlic, eggs, Italian parsley leaves, parmesan cheese]",Italian,tagliatelle olive oil pancetta garlic egg italian parsley leaf parmesan cheese
4541,Tuscan-Style-Steak-1598184,"[rib eye steaks, olive oil, rosemary, garlic, sea salt, lemon, spinach]",Italian,rib eye steak olive oil rosemary garlic sea salt lemon spinach
4542,Skinny-Chicken-and-Broccoli-Alfredo-1035438,"[chicken breasts, broccoli, rotini, extra-virgin olive oil, minced garlic, flour, chicken broth, milk, plain greek yogurt, pepper, salt, grated parmesan cheese]",Italian,chicken breast broccoli rotini extra virgin olive oil minced garlic flour chicken broth milk plain greek yogurt pepper salt grated parmesan cheese
4543,Spaghetti-con-le-zucchine-_Spaghetti-with-Zucchini_-1686999,"[spaghetti, zucchini, garlic, salt, pepper, parsley, olive oil, red pepper flakes, ricotta cheese, grated parmesan cheese, fresh basil leaves, egg yolks]",Italian,spaghetti zucchini garlic salt pepper parsley olive oil red pepper flake ricotta cheese grated parmesan cheese fresh basil leaf egg yolk
4544,Spaghetti-With-Fresh-Tomato-and-Basil-Sauce-1241621,"[plum tomatoes, olive oil, salt, freshly ground pepper, crushed red pepper flakes, spaghetti, extra-virgin olive oil, butter, fresh basil, parmigiano reggiano cheese]",Italian,plum tomato olive oil salt freshly ground pepper crushed red pepper flake spaghetti extra virgin olive oil butter fresh basil parmigiano reggiano cheese
4545,Pesto-Chicken-Pasta-1062234,"[pesto, boneless skinless chicken breasts, pasta, olive oil, fresh spinach, onions, garlic, salt, pepper, cream cheese, milk]",Italian,pesto boneless skinless chicken breast pasta olive oil fresh spinach onion garlic salt pepper cream cheese milk
