,id,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds
170,Dark-Chocolate-Magic-Shell-1684052,120.0,2,1,60.0,180
171,Mini-Chocolate-Chip-Cheesecake-Video-1694445,,5,4,,1800
172,Rhubarb-Strawberry-Crumble-1688132,1800.0,6,6,600.0,2400
173,Strawberry-Banana-Jello-Mold-1709100,,9,4,1800.0,1800
174,Strawberry-Ice-Cream-1712040,14400.0,7,4,1200.0,15600
175,Coconut-Creme-Brulee-1712159,,8,4,,4200
176,Classic-Vanilla-Buttercream-Frosting-1587269,,5,4,600.0,600
177,Dutch-Butter-Cake-1619107,,4,4,,3300
178,German-Chocolate-Mini-Cheesecakes-1697606,3600.0,21,24,2700.0,6300
179,No-Churn-Caramelized-White-Chocolate-and-Chocolate-Chip-Ice-Cream-1684254,,4,4,,4500
180,Curd-candies-Bounty-1697392,,7,4,,3000
181,Copycat-Disneyland-Tigger-Tails-1701214,,7,10,,2100
182,Dole-Whip-1703477,,5,4,,3600
183,Profiterole-with-Ice-Cream-_-Chocolate-Sauce-1711108,,12,8,1200.0,2700
184,Banana-Split-Sundae-Cake-1712939,,8,4,,6600
185,Chocolate-Cardamom-Halvah-1701776,600.0,6,4,600.0,1200
186,Avocado-Ice-Cream-561475,,6,8,,3900
187,Oatmeal-Lace-Cookies-1686262,300.0,7,60,300.0,600
188,The-Perfect-Chocolate-Truffles-1688959,,6,4,,3300
189,Starbucks-Coffee-Whipped-Cream-1691205,,3,2,,1200
190,Watergate-Salad-1707055,,6,8,14700.0,14700
191,Strawberry-Marshmallows-1699349,600.0,10,36,1200.0,1800
192,Twisted-Strawberry-Shortcake-1703617,3000.0,7,20,1200.0,4200
193,Lemon-Danish-1711610,,8,4,,3300
194,Raspberry-Crumble-1612949,,9,4,,3300
195,Chocolate-Coconut-Rough-1635207,,4,4,,1500
196,The-Perfect-Lemon-Posset-1688954,,7,4,,2400
197,Pineapple-Poke-Cake-1704484,,6,4,,3000
198,Lemon-Icebox-Pie-1704231,,6,20,,3300
199,Chocolate-Marshmallow-Fluff-1708182,,6,3,,900
200,Peanut-Butter-Cup-Brownies-1701991,,12,4,,2700
201,Salted-Caramel-Apple-with-Peanuts-Oatmeal-760994,,5,1,,900
202,Mawmaws-Banana-Pudding-1182442,,6,10,900.0,900
203,Patriotic-Cake-Mix-Jello-Cookies-1713335,780.0,10,24,900.0,1680
204,Limoncello-Ice-Cream-1687670,,6,4,,3600
205,Chewy-Molasses-Cookies-1713286,,9,4,,2100
206,Graham-Cracker-Blueberry-Crisp-1708775,1200.0,10,4,600.0,1800
207,No-Bake-Mixed-Berry-Cheesecake-Parfaits-1711500,,8,2,5400.0,5400
208,Banana-Bread-Snickerdoodle-Cookies-1705961,600.0,13,20,600.0,1200
209,Grapefruit-_-Ginger-Chia-Seed-Pudding-1704256,,8,2,,2700
210,Dark-Chocolate-Mousse-1686519,,7,4,,3900
211,Salted-Caramel-Apple-Cider-Tarte-Tatin-1712091,,11,4,,4200
212,Homemade-Magic-Shell-1690574,,2,1,,1500
213,Strawberry-Almond-Quinoa-1686580,1200.0,4,5,11100.0,12300
214,Toffee-Cookies-1700702,600.0,11,18,1200.0,1800
215,4-Ingredient-Peach-Dumplings-1601590,1800.0,4,8,300.0,2100
216,Banana-Ice-Cream-1631582,,2,4,,1200
217,Salted-Caramel-Chocolate-Cupcakes-1704567,1080.0,20,12,3600.0,4680
218,Easy-Mocha-Cupcakes-1703867,,4,4,,2100
219,Neapolitan-Melt-Away-Cookies-1701497,,9,4,,2400
220,The-Best-Lemon-Bars-1490037,,7,4,,3900
221,Chewy-Potato-Chip-Chocolate-Chip-Cookies-1710481,,9,11,,3600
222,Jell-O-Swirl-Ice-Cream-1704275,,3,4,,3600
223,No-Churn-2-Ingredient-Ice-Cream-1697416,21600.0,4,4,600.0,22200
224,Healthy-Nutella-1686900,,6,1,,1800
225,Pistachio-Ice-Cream-1700302,,4,4,,1500
226,Grandma_s-Old-Fashioned-Bread-Pudding-with-Vanilla-Sauce-1639249,,13,4,,4200
227,Salted-Caramel-Cheesecake-1628182,3600.0,17,8,1200.0,4800
228,Wedding-Cake-White-Cake-Mix-Cookies-1705339,,8,10,600.0,600
229,Mexican-Fried-Ice-Cream-Dessert-1712461,,9,4,,2400
230,Strawberry-Jello-Poke-Cake-1692540,,7,12,,3300
231,Hershey-Bar-Pie-1693817,,5,4,,1200
232,No-bake-Oreo-peanut-butter-chocolate-tart-1712473,,6,4,,2400
233,3-Layer-Patriotic-Jello-Bundt-_GF_-DF_-Egg_-Peanut_-Tree-nut-Free_-1710076,300.0,12,11,28800.0,29100
234,Healthy-Mocha-Brownies-1690547,1500.0,10,4,600.0,2100
235,Melt-in-your-mouth-Chocolate-Cake-1694194,,5,4,,4200
236,Healthy-Homemade-Jello-1697485,,3,4,,2100
237,Strawberry-Gourmet-Fondant-1706961,,4,4,,900
238,Chocolate-Raspberry-Coconut-Chia-Pudding-1710354,,9,1,180.0,180
239,Grilled-Pineapple-with-Coconut-Whipped-Cream-1710145,,6,4,,2700
240,Best-Chocolate-Brownies-1701403,1500.0,8,20,1200.0,2700
241,BABY-Curd-BISCUITS-5-MIN-1696921,,4,4,,2700
242,Avocado-Fudge-Pops-1684565,28800.0,6,8,900.0,29700
243,Blueberry-Cheesecake-Cupcakes-1712220,,11,4,,1800
244,Strawberry-Poke-Cake-1690356,,5,12,,2700
245,_Just-Cake_-and-Easy-Caramel-Frosting-1710015,,8,4,,4500
246,Keto-Lava-Cake---Printer-Friendly-1614530,900.0,7,4,300.0,1200
247,How-to-Make-Pate-a-Choux-_-Fill-Eclairs-and-Cream-Puffs-1703173,,7,4,,5100
248,Tiger_s-Blood-Popsicles-1699572,,5,12,900.0,900
249,Coffee-Vanilla-Ice-Cream-1708620,180.0,5,4,1800.0,1980
250,Healthy-Vegan-Chocolate-Mousse-_Vegan_-Gluten-Free_-Dairy-Free_-Egg-Free_-Nut-Free_-No-Cook_-Paleo-Friendly_-No-Refined-Sugar_-1669444,,3,4,,1500
251,Dutch-Buttercake-_Boterkoek_-1697545,1500.0,9,8,600.0,2100
252,_-Lemon-macarons-1710867,,8,4,,3900
253,The-Best-Buttercream-Frosting-1558524,,4,4,,1200
254,S_mores-Marshmallow-Pops-1707860,,4,20,,2100
255,S_mores-In-A-Jar-1702640,,8,4,,2400
256,Chocolate-Chip-Cake-Mix-Cookie-Bars-1695267,,6,24,,3300
257,Marbled-Cookie-Butter-Cake-1711735,3600.0,8,11,1500.0,5100
258,Simple-Coconut-Macaroons-1688537,1380.0,8,4,,1800
259,Simple-Lemon-Meringue-Pie-1705479,,12,8,,4800
260,Coconut-Pineapple-Popsicles-1707756,,3,8,600.0,600
261,Rustic-Cobbler-996112,,5,4,,3000
262,Gluten-Free-Lemon-Bars-1701887,,10,4,,3000
263,Simple-Vanilla-Cake-1668596,2700.0,14,8,1200.0,3900
264,Miniature-Cinnamon-Roll-Cheesecakes-1697681,,16,8,,4200
265,Red-Velvet-Cheesecake-Ice-Cream-1697718,,6,6,2400.0,2400
266,Blueberry-Meringue-Cookies-1699909,3600.0,8,24,1800.0,5400
267,S_mores-Lava-Cakes-1704249,1200.0,11,4,900.0,2100
268,Homemade-Chocolate-Ice-Cream-1693604,,8,6,11700.0,12300
269,Cinnamon-Streusel-Cake-With-Truvia-Baking-Blend-and-Truvia-Brown-Sugar-Blend-746840,,12,18,,4500
270,Cherry-Pie-Filling-1705341,,10,8,,1200
271,No-Churn-Caramel-Swirl-Banana-Ice-Cream-1697717,,9,8,0.0,7200
272,3-Ingredient-Easy-Cake-Mix-Cookies-1679038,480.0,4,12,300.0,780
