id,rating,bitter,meaty,piquant,salty,sour,sweet,cookTimeInSeconds,ingredientCount,numberOfServings,prepTimeInSeconds,totalTimeInSeconds,ingredient_list,course
An-Easy-Pancake-1621224,3,,,,,,,600.0,9,4,300.0,900,"[pancake, all-purpose flour, baking powder, sugar, salt, eggs, milk, flour]",Breakfast_Brunch
Angel-food-french-toast-344569,5,0.333333333333,0.166666666667,0.0,0.833333333333,0.5,0.333333333333,,13,5,,1800,"[angel food cake, large eggs, milk, flour, vanilla extract, salt, cinnamon, butter, whipped cream, strawberries, blueberries, maple syrup, fresh mint]",Breakfast_Brunch
Another-Gluten-Free-Pancake-1690464,3,,,,,,,,7,6,,1800,"[buckwheat flour, vegan mayonnaise, baking soda, salt, honey, crepes, water]",Breakfast_Brunch
Apam-Balik-1053258,4,0.166666666667,0.833333333333,0.0,0.333333333333,0.166666666667,0.666666666667,,8,4,,2700,"[all-purpose flour, baking soda, instant yeast, large eggs, cane sugar, water, roasted peanuts]",Breakfast_Brunch
Apple-Bumpkin-Breakfast-Bake-1682890,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,,13,4,,2700,"[apples, bananas, eggs, almond flour, pumpkin purée, coconut milk, vanilla bean seeds, apple juice, cinnamon, nutmeg, salt, slivered almonds, coconut flakes]",Breakfast_Brunch
Apple-Carrot-Cake-Pancakes-With-Maple-Cream-Cheese-Topping-781261,4,,,,,,,900.0,17,2,300.0,1200,"[flour, baking powder, salt, cinnamon, ginger, nutmeg, clove, eggs, brown sugar, vanilla, unsweetened almond milk, grated carrot, apples, cream cheese, maple syrup]",Breakfast_Brunch
Apple-Cider-Pancakes-with-Caramel-Apple-Syrup-677337,4,0.166666666667,0.166666666667,0.0,0.833333333333,0.166666666667,0.833333333333,900.0,11,4,900.0,1800,"[all-purpose flour, sugar, baking powder, baking soda, salt, yoplait, apple cider, eggs, butter, brown sugar]",Breakfast_Brunch
Apple-Cinnamon-Baked-French-Toast-1298248,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,1200.0,9,1,300.0,1500,"[unsweetened applesauce, unsweetened vanilla almond milk, nut butter, maple syrup, ground cinnamon, vanilla extract, bread, quick oats, apples]",Breakfast_Brunch
Apple-Cinnamon-Breakfast-Quinoa-1536800,4,0.166666666667,0.166666666667,0.0,0.0,0.166666666667,0.5,,8,2,,1500,"[quinoa, applesauce, water, apples, cinnamon, nutmeg, almonds, maple syrup]",Breakfast_Brunch
Apple-Cinnamon-French-Toast-1624670,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.666666666667,600.0,12,4,600.0,1200,"[apples, brown sugar, butter, vanilla, cinnamon, white bread, eggs, milk, flour, powdered sugar]",Breakfast_Brunch
Apple-Cinnamon-Oatmeal-1106147,4,0.166666666667,0.333333333333,0.0,0.166666666667,0.166666666667,0.5,,6,4,,1800,"[oats, rice milk, salt, cinnamon, almonds, apples]",Breakfast_Brunch
Apple-Cinnamon-Oatmeal-1629567,4,,,,,,,,8,4,,1200,"[gluten, water, sea salt, apples, cinnamon, maple syrup, shelled hemp seeds, ground flax]",Breakfast_Brunch
Apple-Cinnamon-Overnight-Cereal-and-Oatmeal-1263186,3,,,,,,,,6,4,300.0,28800,"[Yoplait® Greek 100 apple pie yogurt, quick-cooking oats, Honey Nut Cheerios Cereal, diced apples, raisins, cinnamon]",Breakfast_Brunch
Apple-Cinnamon-Overnight-Oatmeal-1701420,4,0.166666666667,0.166666666667,0.0,0.166666666667,0.166666666667,0.5,300.0,5,1,300.0,600,"[oatmeal, milk, honey, stevia, apples]",Breakfast_Brunch
Apple-Cinnamon-Overnight-Oats-1012630,4,,,,,,,,6,1,28800.0,28800,"[unsweetened almond milk, gala apples, oats, cinnamon, vanilla extract, slivered almonds]",Breakfast_Brunch
Apple-Cinnamon-Pancakes-1680204,4,0.333333333333,0.166666666667,0.0,0.5,0.166666666667,0.5,,10,4,,1500,"[all-purpose flour, brown sugar, baking powder, salt, ground cinnamon, milk, applesauce, apples, eggs, vegetable oil]",Breakfast_Brunch
